COMENTARIO;VALOR
Me encantó este lugar.;1
La corteza no es buena.;0
No es sabroso y la textura era simplemente desagradable.;0
Nos detuvimos durante el día festivo de finales de mayo de la recomendación de Rick Steve y me encantó.;1
La selección en el menú fue genial y también lo fueron los precios.;1
Ahora me estoy enfadando y quiero mi maldito plato.;0
Honestamente no sabía a nada;0
Las patatas eran como el caucho y se notaban que habían sido inventadas antes de tiempo que se mantenían bajo un calentador.;0
Las papas fritas también eran geniales.;1
Un gran toque.;1
El servicio fue muy rápido.;1
No volvería.;0
El cajero no tenía ningún cuidado lo que nunca en lo que tenía que decir que todavía terminó siendo despreciable .;0
Probé el ravioli de Cape Cod, pollo, con arándano... ¡Mmmm!;1
Estaba disgustado porque estaba bastante seguro de que era cabello humano.;0
Me sorprendió porque no hay señales que indiquen solo dinero en efectivo.;0
Muy recomendable.;1
Camarera era un poco lento en el servicio.;0
Este lugar no es que vale la pena su tiempo, y mucho menos Las Vegas.;0
no me gustó en absoluto.;0
El Burritos Blah!;0
La comida, increíble.;1
El servicio también es lindo.;1
Me podría importar menos... El interior es simplemente hermoso.;1
Así que actuaron.;1
Así es.... el pastel de terciopelo rojo..... oh, estas cosas son tan buenas.;1
Nunca trajeron una ensalada que pedimos.;0
Este hoyo en la pared tiene excelentes tacos callejeros mexicanos y un personal amable.;1
Tomó una hora para obtener nuestra comida sólo 4 mesas en el restaurante mi comida era Luke caliente, Nuestro camarero estaba corriendo alrededor como él estaba totalmente abrumado.;0
Lo peor fue el sashimi de salmón.;0
También hay combos como una hamburguesa, papas fritas y cerveza para 23, que es una oferta decente.;1
¡Esto fue como el golpe final!;0
Encontré este lugar por accidente y no podría ser más feliz.;1
parece un buen lugar rápido para tomar un bocado de algo de comida de pub familiar, pero hágase un favor y busque en otro lugar.;0
En general, me gusta este lugar mucho.;1
La única cualidad redentora del restaurante era que era muy barato.;1
Porciones amplias y buenos precios.;1
Mal servicio, el camarero me hizo sentir como si fuera estúpido cada vez que venía a la mesa.;0
Mi primera visita a Hiro fue una delicia!;1
El servicio apesta.;0
El camarón tierno y húmedo.;1
No hay un acuerdo lo suficientemente bueno que me arrastraría a ese establecimiento de nuevo.;0
Difícil juzgar si estos lados eran buenos porque estábamos brutos por la extirpa derretida y no queríamos comerla por miedo a enfermarnos.;0
En una nota positiva, nuestro servidor fue muy atento y proporcionó un gran servicio.;1
Discos congelados de asco, con algunas de las peores personas detrás del registro.;0
Lo único que me gustó fue la sección de costillas y postres.;1
Es una lástima que la comida sea tan maldita genérica.;0
La hamburguesa es buena carne de res, cocinada a la derecha.;1
Si quieres un sándwich sólo tienes que ir a cualquier bombero!!!!!;1
Mi ensalada griega de lado con el aderezo griego era tan sabrosa, y la pita y el hummus era muy refrescante.;1
Pedimos el pato raro y era rosa y tierno en el interior con un buen carbón en el exterior.;1
Vino corriendo detrás de nosotros cuando se dio cuenta de que mi esposo había dejado sus gafas de sol sobre la mesa.;1
Su chow mein es tan bueno!;1
Tienen actitudes horribles hacia los clientes, y hablan con cada uno cuando los clientes no disfrutan de su comida.;0
La porción era enorme!;1
Me encantó... servidores amables, buena comida, menú maravilloso e imaginativo.;1
El Heart Attack Grill en el centro de Las Vegas es una excusa absolutamente plana para un restaurante.;0
No hay mucho marisco y como 5 cuerdas de pasta en la parte inferior.;0
La ensalada tenía la cantidad justa de salsa para no sobre acerar la vieira, que estaba perfectamente cocinada.;1
El plátano rasgado no sólo estaba rasgado, sino petrificado e insípido.;0
Al menos piensa en rellenar mi agua antes de que me cueste saludarte durante 10 minutos.;0
Este lugar recibe estrellas por sus APERITIVOS!!!;1
Los cócteles son todos hechos a mano y deliciosos.;1
Definitivamente volveríamos aquí de nuevo.;1
Estamos muy contentos de haber encontrado este lugar.;1
Buena comida y servicio, porciones enormes y dan un descuento militar.;1
Siempre un gran momento en Dos Gringos!;1
actualizar..... regresó por segunda vez y todavía era igual de increíble;1
Nos dieron la comida y al parecer nunca han oído hablar de sal y la masa en el pescado era masticable.;0
Una gran manera de terminar un gran.;1
El trato incluyó 5 degustaciones y 2 bebidas, y Jeff fue más allá de lo que esperábamos.;1
Muy, muy buen arroz, todo el tiempo.;1
El servicio era meh.;0
Tardó más de 30 minutos en conseguir su batido, que no era más que leche de chocolate.;0
Supongo que debería haber sabido que este lugar sería un asco, porque está dentro de la Excalibur, pero no usé mi sentido común.;0
El plato de vieiras es bastante espantoso por valor también.;0
2 veces - Muy mal servicio de atención al cliente!;0
Las patatas fritas eran muy buenas y bien sazonadas.;1
Hoy es la segunda vez que he estado en su buffet de almuerzo y fue bastante bueno.;1
Hay tanta buena comida en Las Vegas que me siento engañado por desperdiciar una oportunidad de comer yendo a Rice and Company.;0
Venir aquí es como experimentar una relación decepcionante donde ambas partes no pueden esperar a que la otra persona pida romper.;0
entramos y el lugar olía como una vieja trampa de grasa y solo 2 otros allí comiendo.;0
El pavo y la carne asada eran insulsos.;0
Este lugar lo tiene!;1
Las tortas de sartén que todo el mundo está delirando saben como un desastre azucarado adaptado al paladar de un niño de seis años.;0
Me encanta el Pho y los rollitos de primavera oh tan delicioso que tienes que probar.;1
La pobre proporción de rebozado a carne hizo que las ofertas de pollos fuera muy insatisfactoria.;0
Todo lo que tengo que decir es que la comida era increíble!!!;1
¡Las tortillas son para morirse!;1
Todo era fresco y delicioso!;1
En resumen, esta fue una experiencia gastronómica en gran parte decepcionante.;0
Es como una fiesta muy sexy en tu boca, donde estás coqueteando escandalosamente con la persona más caliente en la fiesta.;1
Nunca he estado en Hard Rock Casino antes, NUNCA DARÁ UN PASO ADELANTE EN ÉL OTRA VEZ!;0
El mejor desayuno buffet!!!;1
¡di ad  a tu señora de propina!;0
Nunca volveremos a ir.;0
¡Volveremos otra vez!;1
¡La comida llegó rápidamente!;1
No fue bueno.;0
En el lado positivo, su cafetería sirve muy buena comida.;1
Nuestro servidor fue fantástico y cuando se enteró de que a la esposa le encanta el ajo asado y la médula ósea, agregó extra a nuestra comida y otra médula para ir!;1
Lo único bueno fue nuestro camarero, fue muy servicial y mantuvo la llegada de la bloddy mary.;1
El mejor buffet de la ciudad, por el precio que no se puede superar.;1
ME ENCANTÓ sus mejillones cocinados en esta reducción de vino, el pato era tierno, y sus platos de patata eran deliciosos.;1
Este es uno de los mejores buffets en los que he estado.;1
Así que fuimos a Tigerlilly y tuvimos una tarde fantástica!;1
La comida era deliciosa, nuestro camarero era atento y agradable Y nos dieron una gran oferta!;1
El ambiente es maravilloso y hay música sonando.;1
Volveremos el próximo viaje.;1
¡¡Muy bien!!;1
Verdaderos amantes del sushi, seamos honestos: Yama no es tan bueno.;0
Al menos 40 minutos pasaron entre nosotros ordenando y la comida llegando, y no estaba tan ocupado.;0
Este es un restaurante tailandés realmente fantástico que definitivamente vale la pena visitar.;1
Agradable, picante y tierno.;1
Buenos precios.;1
Mira esto.;1
¡Fue bastante bruto!;0
He tenido mejor ambiente.;0
Un poco difícil de estropear un bistec, pero lo hicieron.;0
Aunque me gustó mucho el aspecto y el sonido de este lugar, la experiencia real fue un poco decepcionante.;0
Simplemente no sé cómo este lugar logró servir la comida más insulsa que he comido cuando están preparando cocina india.;0
Peor servicio para arrancar, pero esa es la menor de sus preocupaciones.;0
El servicio estaba bien y la camarera era amable.;1
Los chicos todos tenían filetes, y nuestro hijo amante de los filetes que ha tenido bistec en los mejores y peores lugares dijo que era el mejor bistec que ha comido.;1
Pensamos que tendrías que aventurarte más lejos para obtener un buen sushi, pero este lugar realmente llegó al lugar esa noche.;1
El personal anfitrión era, a falta de una palabra mejor, ¡PERRAS!;0
soso... No es un gusto de este lugar por una serie de razones y yo no desea perder el tiempo en mala nota..  Lo dejo ahí...;0
Comida fenomenal, servicio y ambiente.;1
No volvería.;0
Definitivamente vale la pena aventurarse fuera de la tira para el vientre de cerdo, volveré la próxima vez que esté en Las Vegas.;1
Este lugar es demasiado caro para la comida mediocre.;0
El vodka excelente!;1
Tienen una buena selección de comida que incluye un enorme sándwich de pastel de carne, una envoltura de pollo crujiente, un derretimiento de atún delicioso y algunas hamburguesas sabrosas.;1
La administración es de mala educación.;0
Deliciosos bagels de Nueva York, buenas selecciones de queso crema, verdadero Los con alcaparras incluso.;1
Gran metro, de hecho, es tan bueno cuando vienes aquí cada otro metro no cumplirá con sus expectativas.;1
Tuve un desayuno muy sólido aquí.;1
Este es uno de los mejores bares con comida en Las Vegas.;1
Fue extremadamente grosero y realmente, hay muchos otros restaurantes en los que me encantaría cenar durante un fin de semana en Las Vegas.;0
Mi bebida nunca estuvo vacía y él hizo algunas sugerencias de menú realmente geniales.;1
¡¡¡¡No lo hagas!!!!;0
El camarero no fue servicial o amable y rara vez nos revisó.;0
Mi esposo y yo almorzamos aquí y estábamos muy decepcionados con la comida y el servicio.;0
Y el curry rojo tenía tantos brotes de bambú y no era muy sabroso para mí.;0
Buena manta de arroz en la parte superior, pero me siento como si esto se hizo para cubrir la comida mediocre.;1
Los baños están limpios y el lugar en sí está bien decorado.;1
El menú siempre está cambiando, la calidad de la comida está bajando y el servicio es extremadamente lento.;0
El servicio era un poco lento, teniendo en cuenta que eran atendidos por 3 servidores de personas por lo que la comida venía a un ritmo lento.;0
Le doy 2 pulgares hacia abajo;0
Vimos a nuestro camarero prestar mucha más atención a otras mesas e ignorarnos.;0
Mi prometido y yo vinimos en el medio del día y nos recibieron y nos sentaron de inmediato.;1
Este es un gran restaurante en el Mandalay Bay.;1
Esperamos cuarenta y cinco minutos en vano.;0
Lo que vino con la ensalada era rancio.;0
Algunos aspectos destacados : Gran calidad nigiri aquí!;1
el personal es amable y la articulación está siempre limpia.;1
este fue un corte diferente a la pieza del otro día, pero sigue siendo maravilloso y tierno s así como bien condimentado.;1
Pedí la pasta Beodo y fue la primera vez que había tenido una pasta realmente excelente desde que me fui sin gluten hace varios años.;1
este lugar es bueno.;1
Desafortunadamente, debemos haber llegado a la panadería el día de la sobra porque todo lo que pedimos era RANCIO.;0
Volví hoy desde que se trasladó y aún no impresionado.;0
Me senté inmediatamente.;1
Su menú es diverso, y a un precio razonable.;1
Evitar a toda costa!;0
El restaurante siempre está lleno, pero nunca una espera.;1
¡¡delicioso!!;1
Este lugar es sin duda uno de los mejores lugares para comer en el área metropolitana de Phoenix.;1
Así que no vayas allí si estás buscando buena comida...;0
Nunca he sido tratado tan mal.;0
El tocino es  salado.;1
"También pedimos la ensalada de espinacas y aguacate; los ingredientes eran tristes y el aderezo literalmente tenía cero sabor.";0
Así es como solía ser la buena mesa de Las Vegas, hasta los menús entregados a las damas que no tienen precios en la lista.;1
Las camareras son muy amables.;1
Lord, el Khao Soi es un plato que no debe perderse para los amantes del curry!;1
Todo en el menú es genial y también nos entusiasmó que hicieran alojamientos increíbles para nuestra hija vegetariana.;1
Tal vez los cogí en una noche de descanso a juzgar por las otras críticas, pero no estoy inspirado para volver.;0
El servicio aquí deja mucho que desear.;0
El ambiente es moderno y moderno, manteniendo un toque de comodidad.;1
No es un refugio semanal, pero definitivamente un lugar para volver de vez en cuando.;1
Literalmente nos sentamos allí durante 20 minutos sin que nadie pidiera tomar nuestro pedido.;0
La hamburguesa no tenía absolutamente ningún sabor - la carne en sí era totalmente insulsa, la hamburguesa estaba demasiado cocida y no había sabor a carbón.;0
También decidí no enviarlo de vuelta porque nuestra camarera parecía que estaba a punto de tener un ataque al corazón.;0
Me vestí para ser tratado tan groseramente!;0
Probablemente era suciedad.;0
Me encanta este lugar, golpea el lugar cuando quiero algo saludable, pero no carece de cantidad o sabor.;1
Pedí el cóctel de hielo de frambuesa limón que también fue increíble.;1
La comida chupó, que esperábamos, pero chupó más de lo que podríamos haber imaginado.;0
Decoración interesante.;1
Lo que realmente me gusta allí es la estación de crepe.;1
También se sirvieron pan caliente y mantequilla, y patatas fritas caseras con trozos de tocino en la parte superior.... muy original y muy bueno.;1
puedes verlos preparando la deliciosa comida!);1
Ambos rollos de huevo eran fantásticos.;1
Cuando llegó mi pedido, faltaba uno de los giroscopios.;0
Tuve una ensalada con las alas, y un poco de helado para el postre y me fui sintiéndome bastante satisfecho.;1
No estoy muy seguro de cómo Joey's fue votado como el mejor perro caliente en el Valle por los lectores de phoenix magazine.;0
El mejor lugar para ir a por un sabroso tazón de Pho!;1
La música en vivo de los viernes sopla totalmente.;0
Nunca he sido más insultado o se sentía irrespetuoso.;0
Personal muy amable.;1
Vale la pena el viaje en coche.;1
Había escuchado cosas buenas sobre este lugar, pero que superar todas las esperanzas que podría haber soñado.;1
La comida era genial y también lo fue el servicio!;1
La cerveza caliente no ayudó.;0
Gran lugar de Branch.;1
El servicio es amable y acogedor.;1
Muy buen lugar para almorzar.;1
 vivieron aquí desde 1979 y este fue el primer (y último) vez  pie en este lugar.;0
El WORST EXPERIENCIA NUNCA.;0
Debe haber sido una noche de descanso en este lugar.;0
Los lados son delicioso - setas mezcladas, puré de oro del Yukón, maíz blanco - bateos.;1
Si ese error nunca apareció me habría dado un 4 seguro, pero en el otro lado de la pared donde este error fue subir fue la cocina.;0
Durante unos 10 minutos, estamos esperando su ensalada cuando nos dimos cuenta de que no iba a llegar pronto.;0
A mi amigo le encantó el tartar de salmón.;1
No volveremos.;0
Extremadamente sabroso!;1
Camarera era buena aunque!;1
Empapado y no es bueno.;0
Los mojitos jamaicanos son deliciosos.;1
Que son pequeños y no vale la pena el precio.;0
#¿NOMBRE?;1
El área de la ducha está afuera, de modo que solo puedes enjuagar, no tomar una ducha completa, a menos que no te importe estar desnudo para que todos lo vean.;0
El servicio era un poco deficiente.;0
Langosta Bisque, Bussell , Risotto, Filete TODO necesitaba sal y pimienta.. y, por supuesto, no hay ninguno en las mesas.;0
Esperemos que esto sea un augurio para que salgan del negocio y alguien que pueda cocinar pueda entrar.;0
Era demasiado frío, no tenía suficiente sabor o simplemente estaba mal.;0
Me encantaron las fechas envueltas en tocino.;1
¡Esta es una ganga increíble!;1
La gente de Otto siempre nos hace sentir tan bienvenidos y especiales.;1
"En cuanto a la ""cañería"", también sin inspiración.";0
Este es el lugar donde tuve por primera vez pho y fue increíble!!;1
Esta maravillosa experiencia hizo de este lugar una parada obligada cada vez que estamos en la ciudad de nuevo.;1
Si la comida no es lo suficientemente mala para ti, entonces disfruta lidiando con las peores / molestas personas borrachas del mundo.;0
Chef muy muy divertido.;1
Pedimos una hamburguesa con queso doble y tenemos una sola empanada que se estaba cayendo a pedazos (foto subida) sí, todavía apesta.;0
Gran lugar para tomar un par de copas y ver todos y cada uno de los eventos deportivos, ya que las paredes están cubiertas de televisores.;1
Si fuera posible darles cero estrellas, lo tendrían.;0
"Las descripciones decían ""salsa yum yum"" y otra decía ""salsa de anguila"", otra más decía ""mayo picante""... bueno, NINGUNO de los rollos tenía salsas en ellos.";0
Yo diría que sería la decisión más difícil... Honestamente, todos los platos de M saben cómo se supone que deben probar (increíble).;1
Si ella no hubiera rodado los ojos podríamos habernos quedado... No estoy seguro de si volveremos y lo intentaremos de nuevo.;0
Todo el mundo es muy atento, proporcionando un excelente servicio de atención al cliente.;1
Horrible -  de recolección de residuos de su tiempo y dinero.;0
Ahora bien, este plato era bastante sabroso.;1
En ese momento nuestro lado del restaurante estaba casi vacío, así que no había excusa.;0
(Tampoco estaba ocupado) Además, el edificio fue CONGELACIÓN frío.;0
"como el otro crítico dijo ""que no debería pagarme para comer en este lugar otra vez.""";0
-Las bebidas tardaron cerca de 30 minutos en salir en un momento dado.;0
En serio, delicias sabrosas, amigos.;1
Mucho mejor que el otro lugar de sushi de AYCE al que fui en Las Vegas.;1
La iluminación es lo suficientemente oscura como para establecer el estado de ánimo.;1
Basado en el servicio sub-par que recibí y ningún esfuerzo para mostrar su gratitud por mi negocio no voy a volver.;0
Los propietarios son realmente grandes personas.!;1
No hay nada privilegiado en trabajar/ comer allí.;0
El aderezo griego era muy cremoso y sabroso.;1
En general, no creo que me gustaría llevar a mis padres a este lugar de nuevo porque hizo la mayoría de las quejas similares que me sentí en silencio demasiado.;0
Ahora la pizza en sí era buena la salsa de maní era muy sabrosa.;1
Teníamos 7 en nuestra mesa y el servicio era bastante rápido.;1
Fantástico servicio aquí.;1
Yo también habría dado a los padrinos cero estrellas si es posible.;0
Saben cómo hacerlos aquí.;1
muy duro y muy corto en sabor!;0
Espero que este lugar se pegue alrededor.;1
He estado en más de unos pocos bares en Las Vegas, y nunca recuerdo que me cobraron por el agua del grifo.;0
El ambiente del restaurante era exquisito.;1
Buen servicio, muy limpio, y barato, para arrancar!;1
El marisco era fresco y generoso en porción.;1
Además, es sólo 8 dólares.;1
El servicio tampoco estuvo a la altura.;0
Hasta ahora, solo he visitado dos veces y la comida era absolutamente deliciosa cada vez.;1
¡Tan bueno como cuando lo tuve hace más de un año!;1
Para un café autoproclamado, me decepcionó enormemente.;0
¡El plato vegetariano está fuera de este mundo!;1
No puedes equivocarte con cualquiera de la comida aquí.;1
No se puede superar eso.;1
Nos detuvimos en este lugar, mientras que en Madison para el Ironman, muy amable, personal amable.;1
Los chefs fueron amables e hicieron un buen trabajo.;1
He tenido mejor, no sólo de dedicados puntos de té boba, pero incluso de Jenni Pho.;0
Me gustó el patio y el servicio fue excepcional.;1
El taco de cabra no escatime en la carne y wow qué SABOR!;1
Creo que no otra vez;0
Tuve la ensalada mac y fue bastante insulso, así que no volveré a conseguir eso.;0
Fui a Bachi Burger por recomendación de un amigo y no me decepcionó.;1
¡El servicio apesta aquí!;0
Esperé y esperé.;0
Este lugar no es sushi de calidad, no es un restaurante de calidad.;0
Definitivamente recomendaría las alas, así como la pizza.;1
Gran pizza y ensaladas!;1
Cosas que salieron mal: - Quemaron el saganaki.;0
Esperamos una hora para lo que era un desayuno que podría haber hecho 100 veces mejor en casa.;0
Este lugar es increíble!;1
Odio estar en desacuerdo con mi compañero Yelpers, pero mi esposo y yo estábamos muy decepcionados con este lugar.;0
Esperó 2 horas y nunca tenemos cualquiera de nuestras pizzas como muchos otros alrededor de nosotros que vinieron en más tarde lo hizo!;0
Simplemente no sé por qué eran tan lentos.;0
El personal es genial, la comida es deliran, y tienen una increíble selección de cerveza.;1
Vivo en el vecindario, de modo que estoy decepcionado I no estar de vuelta aquí, porque es una ubicación conveniente.;0
No sabía que la carne de cerdo tirada podría ser tan deliciosa.;1
Obtienes pescado increíblemente fresco, preparado con cuidado.;1
Antes de entrar a por qué me dio una calificación de 1 estrella, por favor, sepa que esta fue mi tercera vez comer en la hamburguesa Bachi antes de escribir una evaluación.;0
Me encanta el hecho de que todo en su menú vale la pena.;1
Nunca más voy a estar cenando en este lugar!;0
La comida era excelente y el servicio era muy bueno.;1
Buena selección de cerveza y bebida y buena selección de comida.;1
Por favor, manténgase alejado de los fideos fritos de camarones revueltos.;0
El pedido de papas fritas fue triste... Probablemente podría contar cuántas fichas había en esa caja y probablemente fue alrededor de 12.;0
La comida era realmente aburrida.;0
Buen servicio de verificación!;1
Esta corporación codiciosa nunca verá otro centavo de mí!;0
Nunca, jamás volveremos.;0
Por mucho que me gustaría volver, no puedo pasar el servicio atroz y nunca volveré.;0
En el verano, se puede cenar en un encantador patio al aire libre - tan muy encantador.;1
¡No esperaba que esto fuera tan bueno!;1
Comida fantástica!;1
Ella pidió un muffin inglés tostado que salió desatado.;0
La comida era muy buena.;1
Nunca volver atrás.;0
Buena comida por el precio, que es de muy alta calidad y hecho en casa.;1
El chico del autobús, por otro lado, fue tan grosero.;0
En este punto, mis amigos y yo básicamente habíamos descubierto este lugar era una broma y normal mente lo que hace que sea públicamente y en voz alta conocido.;0
Volver a una buena barbacoa, tarifa más ligera, precios razonables y decirle al público que están de vuelta a las viejas costumbres.;1
Y teniendo en cuenta que los dos nos fuimos allí muy llenos y felices por alrededor de $ 20, simplemente no puedes equivocarte.;1
¡Todo el pan se hace en casa!;1
El único inconveniente es el servicio.;0
